Lugar;"COD IBGE";"IDHM (1991)";"IDHM (2000)";"IDHM (2010)";"Renda per capita (1991)";"Renda per capita (2000)";"Renda per capita (2010)"
Brasil;--;0,493;0,612;0,727;447,56;592,46;793,87
Acre;12;0,402;0,517;0,663;284,96;360,63;522,15
Alagoas;27;0,370;0,471;0,631;211,98;285,29;432,56
Amazonas;13;0,430;0,515;0,674;345,82;351,63;539,80
Amapá;16;0,472;0,577;0,708;378,57;424,57;598,98
Bahia;29;0,386;0,512;0,660;234,57;322,04;496,73
Ceará;23;0,405;0,541;0,682;219,83;310,21;460,63
"Distrito Federal";53;0,616;0,725;0,824;916;1199,44;1715,11
"Espírito Santo";32;0,505;0,640;0,740;377,38;574,17;815,43
Goiás;52;0,487;0,615;0,735;410,55;571,49;810,97
Maranhão;21;0,357;0,476;0,639;156,47;218,27;360,34
"Minas Gerais";31;0,478;0,624;0,731;373,85;548,87;749,69
"Mato Grosso do Sul";50;0,488;0,613;0,729;433,21;576,33;799,34
"Mato Grosso";51;0,449;0,601;0,725;395,34;582,62;762,52
Pará;15;0,413;0,518;0,646;273,22;335,76;446,76
Paraíba;25;0,382;0,506;0,658;196,59;299,09;474,94
Pernambuco;26;0,440;0,544;0,673;275,49;367,31;525,64
Piauí;22;0,362;0,484;0,646;167,03;254,78;416,93
Paraná;41;0,507;0,650;0,749;439,09;638,27;890,89
"Rio de Janeiro";33;0,573;0,664;0,761;608,80;826,04;1039,30
"Rio Grande do Norte";24;0,428;0,552;0,684;240,33;351,01;545,42
Rondônia;11;0,407;0,537;0,690;304,90;467,16;670,82
Roraima;14;0,459;0,598;0,707;437,24;462,18;605,59
"Rio Grande do Sul";43;0,542;0,664;0,746;507,61;708,12;959,24
"Santa Catarina";42;0,543;0,674;0,774;449,78;693,82;983,90
Sergipe;28;0,408;0,518;0,665;247,78;326,67;523,53
"São Paulo";35;0,578;0,702;0,783;746,22;882,40;1084,46
Tocantins;17;0,369;0,525;0,699;243,58;344,41;586,62

