Região e UF,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Região Norte,0,2194,0,0,18,3221,2695,22174,27018,7128,24686,51309,19930,28285,18492,24813,19754,36552,48946,55611,98632,119398,42158,49547
Rondônia,...,...,0,...,0,0,0,55,23,699,3193,1668,1472,2971,3048,5672,4123,3118,5765,18767,20294,3219,3292,8732
Acre,...,...,0,...,0,0,0,0,0,0,1295,2050,888,954,4422,2196,258,518,2129,19085,35162,18865,2393,2568
Amazonas,...,...,0,...,0,0,0,0,13894,186,6343,19249,2188,3971,902,998,578,1938,8755,1591,7524,61986,5167,17832
Roraima,...,...,0,...,0,0,409,380,258,1999,4108,3782,1206,4971,558,2328,954,876,5016,3073,7590,1451,1874,945
Pará,...,...,0,...,0,28,321,20877,10934,4157,8505,16564,11362,9617,5521,7988,6436,13920,15982,7498,15568,19240,16246,9166
Amapá,...,...,0,...,0,0,0,0,26,4,0,3193,845,3932,2564,2338,1713,3500,1177,1568,3242,2803,1569,1708
Tocantins,...,2194,0,...,18,3193,1965,862,1883,83,1242,4803,1969,1869,1477,3293,5692,12682,10122,4029,9252,11834,11617,8596
Região Nordeste,15950,8020,0,788,49828,59192,125779,190746,227566,37533,70091,149582,266767,150208,21782,74621,68037,124869,207808,125296,176854,195365,222913,152357
Maranhão,...,...,0,...,0,1776,6312,6102,12171,1523,3613,6235,8360,5836,1580,6537,4931,13354,5734,2251,5778,11777,5325,3588
Piauí,...,...,0,...,26,3260,5777,2841,14626,2179,6756,10284,8793,9525,850,4217,4666,9662,2424,4006,7137,10060,12255,4987
Ceará,15656,6703,0,7,47221,1991,2099,6590,13389,377,1323,33986,19586,33182,3849,26942,28306,34353,54661,7883,21246,63206,54831,30219
Rio Grande do Norte,...,...,0,...,345,5181,6608,25579,17850,7943,16563,37431,21761,20766,2605,4730,8134,12994,35600,2654,7846,23171,28778,18905
Paraíba,...,...,0,...,0,1701,12068,52701,58612,25,32,14947,18618,12780,1340,5772,3047,10732,8442,951,6667,12602,8771,13466
Pernambuco,...,...,0,...,0,9982,22722,32627,52633,14322,24785,13233,99652,15165,2275,5389,8262,22380,20137,2882,34590,22101,31799,7985
Alagoas,294,1317,0,781,344,794,2596,7666,9078,1088,915,1980,7438,6080,4455,2608,3010,10566,13740,3978,47358,8909,28123,11296
Sergipe,...,...,0,...,0,0,3162,11187,27311,9097,6786,3490,5133,4720,421,649,1118,1485,29645,1824,803,3927,4558,801
Bahia,...,...,0,...,1892,34507,64435,45453,21896,979,9318,27996,77426,42154,4407,17777,6563,9343,37425,98867,45429,39612,48473,61110
Região Sudeste,22723,89839,1696,5124,968,46845,34294,22633,229630,25119,32906,159461,355587,64482,21219,20935,124495,206151,325403,113259,478003,361350,251738,918226
Minas Gerais,...,286,0,3863,0,2832,5250,5355,147402,2128,8003,31955,38082,14213,13602,10929,28713,28287,52088,55146,214552,40343,29456,416252
Espírito Santo,...,...,0,...,0,2725,5715,12934,39216,691,17497,7618,24726,28115,3420,2662,9263,6790,25357,38146,26081,40336,11961,67995
Rio de Janeiro,19685,85891,1658,623,287,35240,16225,2304,32382,519,3220,61401,248493,5470,1152,1184,26150,56202,235353,7964,29824,165787,181169,213058
São Paulo**,3038,3662,38,638,681,6048,7104,2040,10630,21781,4186,58487,44286,16684,3045,6160,60369,114872,12605,12003,207546,114884,29152,220921
Região Sul,0,0,0,0,0,3116,5213,721,2949,51,1242,1674,7926,11108,186,1140,1347,27772,2166,1641,42008,35978,4772,66903
Paraná,...,...,0,...,0,3116,5201,716,2702,15,1184,1581,7197,10991,152,1050,1223,27200,1924,1525,38173,35438,4508,66100
Santa Catarina,...,...,0,...,0,0,3,5,140,8,23,38,293,58,14,49,54,149,104,49,189,177,94,358
Rio Grande do Sul,...,...,0,...,0,0,9,0,107,28,35,55,436,59,20,41,70,423,138,67,3646,363,170,445
Região Centro-Oeste,1606,4346,0,1462,5877,24934,15781,12965,20552,4839,6303,23757,46262,20892,8495,25530,45047,101579,48357,110462,216051,51941,68010,265456
Mato Grosso do Sul,1606,4346,0,570,1154,5115,3364,4985,2578,4688,4194,9334,12182,2091,311,617,11358,69412,829,14027,63519,8510,9202,78958
Mato Grosso,...,...,0,892,1367,11628,6016,3562,8787,4,291,2362,8978,9408,2294,6524,9451,16227,7052,52219,35443,6146,32856,35190
Goiás,...,...,0,...,3343,8191,6316,3709,6412,147,1618,10530,21936,8504,5635,18058,23770,14820,39075,43411,102071,33960,24517,139357
Distrito Federal,...,...,0,...,13,0,85,709,2775,0,200,1531,3166,889,255,331,468,1120,1401,805,15018,3325,1435,11951
